,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,bz_e,EX_bz_e,0.002636000777976081,0.0023724007002101665,0.0026360007779760823,uptake,0.0,0.0,250.00000000000512,secretion
1,ca2_e,EX_ca2_e,0.13720384049365494,0.1234834564459391,0.137203840493655,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake
2,cgly_e,EX_cgly_e,2.419927794205382,0.0,162.177934995409,uptake,3.499426723888293,0.0,327.07912685770316,uptake
3,cl_e,EX_cl_e,0.13720384049365494,0.1234834564459391,0.1372038404936554,uptake,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake
4,coa_e,EX_coa_e,0.015183364481142233,-17.76411274760706,0.015183364481352258,uptake,0.021903264218423684,-24.98028706220399,0.02190326421783395,uptake
5,cobalt2_e,EX_cobalt2_e,0.002636000777976081,0.0023724007002101665,0.0026360007779760854,uptake,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake
6,cu2_e,EX_cu2_e,0.018689245515850404,0.016820320964490074,0.018689245515850425,uptake,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake
7,fe2_e,EX_fe2_e,0.17700745224109388,-999.8147629533286,9.46163228729571,uptake,-210.33630477224014,-999.5029670215001,0.552258865006138,secretion
8,fe3_e,EX_fe3_e,0.20581894074437246,0.1852370466724551,1000.0,uptake,210.888563637246,0.0,1000.0,uptake
9,gln__L_e,EX_gln__L_e,11.224697592801089,0.0,170.10222781442084,uptake,41.69499292368643,0.0,124.04132562377987,uptake
10,glu__L_e,EX_glu__L_e,2.6667365470471083,-1000.0,86.92089536824327,uptake,0.0,0.0,145.75614920263595,secretion
11,gly_e,EX_gly_e,13.042720969363401,-1000.0,360.12255778683664,uptake,15.170254034742737,-315.53614083848555,453.9350862617089,uptake
12,h2o_e,EX_h2o_e,945.8575127506336,-1000.0,1000.0,uptake,-622.0712325308807,-1000.0,1000.0,secretion
