,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,ade_e,EX_ade_e,4.387774842761503,-24.70595074599246,1000.0,uptake,3.0358708340594442,-15.753917137043633,1000.0,uptake
1,arg__L_e,EX_arg__L_e,141.29008591045982,0.0,812.3287722211176,uptake,4.39549433299503,0.0,989.2345483179172,uptake
2,asp__L_e,EX_asp__L_e,5.248912462596377,0.0,1000.0,uptake,9.493707236854029,-330.0527961491787,739.3450343130519,uptake
3,bz_e,EX_bz_e,0.0021477431595963,0.00193296884363847,0.0021477431595956237,uptake,0.00148600852389349,-999.968196445571,0.0014860085238934883,uptake
4,ca2_e,EX_ca2_e,0.11179003145698733,0.10061102831138231,0.11179003145695215,uptake,0.07734674366865611,0.06961206930179041,0.07734674366865603,uptake
5,cgly_e,EX_cgly_e,5.284844205660627,0.0,1000.0,uptake,1.3727598142875659,0.0,101.23548383285853,uptake
6,cit_e,EX_cit_e,0.007323804174223376,0.006591423756807178,0.007323804174221,uptake,0.005067289066476797,0.004560560159829111,546.7099303188309,uptake
7,cl_e,EX_cl_e,0.11179003145698733,0.10061102831138231,0.11179003145695186,uptake,0.07734674366865611,0.06961206930179041,0.07734674366865615,uptake
8,cobalt2_e,EX_cobalt2_e,0.0021477431595963,0.00193296884363847,0.002147743159595603,uptake,0.00148600852389349,0.0013374076715041393,0.0014860085238934879,uptake
9,cu2_e,EX_cu2_e,0.015227499001537758,0.013704749101396746,0.015227499001532915,uptake,0.01053580043440484,0.009482220390964342,0.010535800434404817,uptake
10,fe2_e,EX_fe2_e,0.14422095316689165,-999.7192749348393,8.208848212285458,uptake,0.0,-999.8057682838679,5.972159866318092,secretion
11,fe3_e,EX_fe3_e,0.16769578590127912,0.0,1000.0,uptake,0.21581301792505161,0.10442479099299362,1000.0,uptake
12,fol_e,EX_fol_e,0.014368401737700048,-15.254244010780054,0.014368401737694967,uptake,0.009941397024847578,0.0,0.009941397024740395,uptake
13,glu__L_e,EX_glu__L_e,13.444421153007966,-1000.0,154.95712189325565,uptake,9.302101297783224,-712.2951973764759,108.37189116800664,uptake
14,gly_e,EX_gly_e,1.959042445594174,-1000.0,147.59529407414067,uptake,5.049917626832496,-1000.0,215.052550090934,uptake
