,metabolite,reaction,x_flux,x_minimum,x_maximum,x_Flux_type,y_flux,y_minimum,y_maximum,y_Flux_type
0,26dap__M_e,EX_26dap__M_e,16.851861934507937,0.0,36.00000907439061,uptake,0.0,0.0,200.00000000000392,secretion
1,4hphac_e,EX_4hphac_e,5.252182205862668,0.0,5.252182205862668,uptake,4.593575997759712,0.0,404.1855219579939,uptake
2,ala__L_e,EX_ala__L_e,58.88745822209004,-1000.0,1000.0,uptake,0.0,0.0,200.00000000000256,secretion
3,arab__D_e,EX_arab__D_e,33.24710165246513,0.0,329.92239148721507,uptake,0.0,0.0,201.54773901434712,secretion
4,ca2_e,EX_ca2_e,0.19792793447328128,0.17813514102595304,0.19792793447328164,uptake,0.1731084287342021,0.15579758586078196,0.17310842873420315,uptake
5,cgly_e,EX_cgly_e,3.499426723888293,0.0,327.07912685770316,uptake,3.0723503435229342,0.0,218.8248382159549,uptake
6,cl_e,EX_cl_e,0.19792793447328128,0.17813514102595304,0.19792793447328125,uptake,0.1731084287342021,0.15579758586078296,0.17310842873420243,uptake
7,cobalt2_e,EX_cobalt2_e,0.003802650037911266,0.0034223850341201373,0.003802650037911273,uptake,0.003325810350320888,0.0029932293152796774,0.0033258103503208906,uptake
8,cu2_e,EX_cu2_e,0.026960788768790864,0.024264709891911762,0.02696078876879089,uptake,0.023579995383775084,0.021221995845397582,0.02357999538377511,uptake
9,fe3_e,EX_fe3_e,210.888563637246,0.0,1000.0,uptake,0.48300743717701256,0.2337113449377739,1000.0,uptake
10,gln__L_e,EX_gln__L_e,41.69499292368643,0.0,124.04132562377987,uptake,11.91784184175297,0.0,113.23968183967926,uptake
11,id3acald_e,EX_id3acald_e,2.1615403610499007,0.0,2.161540361049901,uptake,1.890490377432902,0.0,1.8904903774328996,uptake
12,k_e,EX_k_e,7.422506688500147,6.680256019650129,7.422506688500148,uptake,6.491748997101859,5.842574097391675,6.491748997101872,uptake
13,man1p_e,EX_man1p_e,37.431956045690185,-724.3111843596188,108.68876044112191,uptake,0.0,-1000.0,1000.0,secretion
14,met__L_e,EX_met__L_e,5.844140737264297,0.0,37.26557109327669,uptake,5.118721452075365,0.0,5.118721452075371,uptake
15,mg2_e,EX_mg2_e,0.32987989078880225,0.2968919017099218,0.3298798907888028,uptake,0.2885140478903369,0.2596626431013033,0.2885140478903372,uptake
16,mn2_e,EX_mn2_e,0.026276311761966868,0.023648680585770167,0.026276311761966917,uptake,0.022981349520717353,0.020683214568645625,0.022981349520717374,uptake
17,murein5p5p5p_e,EX_murein5p5p5p_e,2.5351000252741773,-1000.0,1000.0,uptake,0.0,-1000.0,1000.0,secretion
18,ncam_e,EX_ncam_e,0.08662436786358792,0.0,0.08662436786340282,uptake,0.07576195978079643,0.06818576380192098,0.07576195978040674,uptake
19,no2_e,EX_no2_e,289.76559341483124,0.0,355.10894908612335,uptake,184.53644285198376,0.0,848.6303007536105,uptake
20,o2_e,EX_o2_e,491.66867896568795,347.82682752261485,1000.0,uptake,379.7582368682019,0.2596925753944565,1000.0,uptake
21,pac_e,EX_pac_e,7.044979592736311,0.0,7.0449795927362935,uptake,6.1615625455219964,0.0,205.5454062909673,uptake
